date,Tipo,Volume,Price,SL,TP,Saldo,Price Vol,Scaled Price Return,Retorno,Dummy,Open,High,Low,Close,Tick,Vol,Returns,Scaled Returns,Proba Returns,Candle Size,MM20,MM10,MM5,MM2
2019-05-15 16:57:00,buy,19,91570,92130,89230,1088065,-0.0039,-0.233188689,1058,1,91565.0,91570.0,91555.0,91560.0,142,717,-0.0034828036569438396,-0.04387610657508834,0.39932646970460567,15.0,12.0,11.5,14.0,10.0
2019-05-15 17:00:01,buy,19,91580,92130,89230,1089085,0.0001,-0.027142253,1020,1,91580.0,91590.0,91580.0,91580.0,67,270,0.00021843599825251202,-0.04387610657508834,0.39932646970460567,10.0,12.25,11.5,14.0,12.5
2019-05-17 14:58:16,sell,38,90655,90265,93165,1089829,-0.0101,-0.556892582,744,1,90695.0,90705.0,90685.0,90685.0,137,512,-0.009772876173837082,-0.04387610657508834,0.39932646970460567,20.0,11.75,13.0,14.0,15.0
2019-05-17 16:57:00,buy,9,90165,90885,87985,1090585,-0.0054,-0.313264217,756,1,90160.0,90160.0,90150.0,90155.0,30,90,-0.005844406461928654,-0.04387610657508834,0.39932646970460567,10.0,11.5,13.0,12.0,15.0
2019-05-17 17:00:01,buy,9,90165,90885,87985,1091341,0.0,-0.032808644,756,1,90175.0,90185.0,90175.0,90180.0,39,150,0.00027730020520215184,-0.04387610657508834,0.39932646970460567,10.0,11.0,13.5,13.0,10.0
2019-05-23 16:57:00,buy,19,94150,94715,91815,1092418,0.0442,2.260434457,1077,1,94145.0,94150.0,94145.0,94145.0,15,54,0.0439676203149257,-0.04387610657508834,0.39932646970460567,5.0,11.0,12.5,11.0,7.5
2019-05-23 17:00:01,buy,19,94215,94715,91815,1093248,0.0007,0.003013601,830,1,94205.0,94205.0,94195.0,94205.0,61,181,0.0006373147803919486,-0.04387610657508834,0.39932646970460567,10.0,11.0,12.5,11.0,7.5
2019-05-27 15:37:42,sell,38,94975,94575,97475,1094068,0.0081,0.385747091,820,1,94980.0,94990.0,94980.0,94980.0,22,32,0.008226739557348336,-0.04387610657508834,0.39932646970460567,10.0,11.0,11.5,9.0,10.0
2019-05-28 11:29:08,buy,38,95475,95470,92570,1091850,0.0053,0.240353467,-2218,0,95445.0,95450.0,95440.0,95445.0,95,339,0.004895767530006317,-0.04387610657508834,0.39932646970460567,10.0,11.25,10.5,9.0,10.0
2019-05-28 16:57:00,sell,9,96415,95795,98695,1092426,0.0098,0.478046703,576,1,96415.0,96415.0,96400.0,96405.0,105,296,0.010058148672010058,-0.04387610657508834,0.39932646970460567,15.0,11.5,11.5,10.0,12.5
2019-05-28 17:00:01,sell,9,96380,95795,98695,1092939,-0.0004,-0.051644406,513,1,96395.0,96400.0,96385.0,96395.0,131,308,-0.00010372905969607386,-0.04387610657508834,0.39932646970460567,15.0,11.5,11.5,12.0,15.0
2019-05-30 16:57:00,sell,9,97765,96820,99720,1094100,0.0144,0.712820043,1161,1,97765.0,97770.0,97755.0,97770.0,97,370,0.014264225322890192,-0.04387610657508834,0.39932646970460567,15.0,11.75,12.0,13.0,15.0
2019-05-30 17:00:01,sell,9,97765,96820,99720,1095261,0.0,-0.032808644,1161,1,97760.0,97760.0,97755.0,97755.0,36,110,-0.00015342129487572875,-0.04387610657508834,0.39932646970460567,5.0,11.75,10.5,12.0,10.0
2019-06-03 11:50:21,sell,38,97215,97230,100130,1092927,-0.0056,-0.324711968,-2334,0,97310.0,97315.0,97305.0,97310.0,64,330,-0.004552196818577055,-0.04387610657508834,0.39932646970460567,10.0,11.75,10.5,12.0,7.5
2019-06-03 14:26:09,buy,38,97520,97510,94610,1090671,0.0031,0.129980829,-2256,0,97490.0,97495.0,97475.0,97495.0,169,519,0.0019011406844106464,-0.04387610657508834,0.39932646970460567,20.0,12.5,11.5,13.0,15.0
2019-06-03 16:57:00,buy,19,97005,97430,94530,1091206,-0.0053,-0.306822985,535,1,97000.0,97000.0,96995.0,96995.0,24,107,-0.005128468126570593,-0.04387610657508834,0.39932646970460567,5.0,12.0,11.5,11.0,12.5
2019-06-03 17:00:01,buy,19,96990,97430,94530,1091798,-0.0002,-0.040832015,592,1,96995.0,96995.0,96985.0,96990.0,39,218,-5.1549048920047426e-05,-0.04387610657508834,0.39932646970460567,10.0,12.0,11.5,10.0,7.5
2019-06-05 16:57:00,buy,19,96145,97375,94475,1095392,-0.0087,-0.4848618,3594,1,96140.0,96145.0,96135.0,96145.0,17,69,-0.008712238375090215,-0.04387610657508834,0.39932646970460567,10.0,11.5,11.5,11.0,10.0
2019-06-05 17:00:01,buy,19,96095,97375,94475,1099176,-0.0005,-0.05979244,3784,1,96085.0,96085.0,96075.0,96075.0,50,263,-0.0007280669821623589,-0.04387610657508834,0.39932646970460567,10.0,11.0,11.5,11.0,10.0
2019-06-07 10:40:10,buy,38,97615,97610,94710,1096998,0.0158,0.787925599,-2178,0,97615.0,97620.0,97600.0,97620.0,297,856,0.01608118657298985,-0.04387610657508834,0.39932646970460567,20.0,11.75,12.0,11.0,15.0
2019-06-07 13:36:32,sell,38,98020,98020,100920,1094778,0.0041,0.182468648,-2220,0,98025.0,98025.0,98020.0,98025.0,17,29,0.004148740012292563,-0.04387610657508834,0.39932646970460567,5.0,11.25,11.0,11.0,12.5
2019-06-10 14:16:43,sell,38,97070,97080,99980,1092482,-0.0097,-0.535693623,-2296,0,97085.0,97085.0,97075.0,97085.0,64,203,-0.009589390461616934,-0.04387610657508834,0.39932646970460567,10.0,11.25,10.5,11.0,7.5
2019-06-10 16:57:00,sell,19,97525,97160,100060,1092759,0.0047,0.210403986,277,1,97525.0,97530.0,97520.0,97525.0,26,125,0.004532111036720399,-0.04387610657508834,0.39932646970460567,10.0,10.75,11.0,11.0,10.0
